email;password;nome;cognome;

test@1.com;d091f0d48469e334b2fd3ee48a8368ed370be25277c493adf86acd52b400e68a;Simone;Ferretti
test@2.com;cd6e48f46e45ab5a0766aa785dccf374e4c6fa01d0893f0a1d76859b8d2208b6;test;test
test@3.com;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;test3updated;test
test@4.com;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;test;test
test@5.com;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;te;st
a@.com;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;asd;asd
a1@.com;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;asd;asd
asd@gmail.com;5fd924625f6ab16a19cc9807c7c506ae1813490e4ba675f843d5a10e0baacdb8;asd;asd
asd1@gmail.com;5fd924625f6ab16a19cc9807c7c506ae1813490e4ba675f843d5a10e0baacdb8;asd1;asd1
a@gmail.com;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;1;1
giuseppina@gmail.com;54d5cb2d332dbdb4850293caae4559ce88b65163f1ea5d4e4b3ac49d772ded14;giuseppina;giuseppina
